課程名稱,學分數,必/選,開設科系,授課教師,備註
語言與心理,3,選,語言所,邱振豪,屬「語言與認知」類「心理神經語言學」課群。
心理語言學,3,選,外文系,林祐瑜,
大腦事件誘發電位資料收集與分析導論,3,選,語言所 心理系,李佳霖,
認知電生理學資料收集與分析導論,3,選,語言所 心理系,李佳霖 郭柏呈,
語言處理的電生理研究導論,3,選,語言所,李佳霖,
腦與語言,3,選,心理系,周泰立,
語言學習與教學初探,3,選,語言所,蘇以文,屬「語言與認知」類「發展及語言學習課群」。
語言發展,3,選,心理系,曹峰銘,
兒童語言障礙,3,選,心理系,曹峰銘,
第二語言習得 ,3,選,華教學程,劉德馨,
溝通障礙導論,3,選,心理系,曹峰銘 盧璐,
認知語言學導論,3,選,語言所,呂佳蓉,
心理學資料處理與模式應用,3,選,心理系,徐永豐,跨「語言與認知」及「語言與資訊」類。
心理與神經資訊學,3,選,心理系,黃從仁,
語言分析與資料科學,3,選,語言所,謝舒凱,屬「語言與資訊」類「語料庫與大數據」課群。
口語語料庫專題,3,選,語言所,馮怡蓁,
電腦輔助翻譯,3,選,外文系,高照明,
語言科技概論,3,選,外文系,高照明,
資訊檢索與擷取,3,選,資工系,陳信希,
自然語言處理,3,選,資工系,陳信希,屬「語言與資訊」類「語言與人工智慧」課群。
數位語音處理概論,3,選,資工系,李琳山,
數位人文導論,3,選,資工系,項潔,
人工智慧與機器學習導論,3,選,資工系,于天立,
網路資訊檢索與探勘,3,選,資工系,鄭卜壬,
深度學習之應用,3,選,資工系,陳縕儂,
智慧對話機器人,3,選,資工系,陳縕儂,
跨域專題製作,3,選,參與系所,各系教師,屬總整課程。
業界實習,3,選,參與業界,業界教師,
